"id","name","code_prefix_start","code_prefix_end","chart_template_id/id","parent_id/id"
"account_group_all","CLASELE 1-7","","","ro_chart_template",""
"account_group_cls_15","CLASELE 1-5","","","ro_chart_template","account_group_all"
"account_group_cls_67","CLASELE 6-7","","","ro_chart_template","account_group_all"
"account_group_1","CONTURI DE CAPITALURI, PROVIZIOANE, ÎMPRUMUTURI ŞI DATORII ASIMILATE","1","","ro_chart_template","account_group_cls_15"
"account_group_10","Capital şi rezerve","10","","ro_chart_template","account_group_1"
"account_group_101","Capital","101","","ro_chart_template","account_group_10"
"account_group_103","Alte elemente de capitaluri proprii","103","","ro_chart_template","account_group_10"
"account_group_104","Prime de capital","104","","ro_chart_template","account_group_10"
"account_group_106","Rezerve","106","","ro_chart_template","account_group_10"
"account_group_108","Interese care nu controlează","108","","ro_chart_template","account_group_10"
"account_group_109","Acţiuni proprii","109","","ro_chart_template","account_group_10"
"account_group_11","Rezultatul reportat","11","","ro_chart_template","account_group_1"
"account_group_117","Acţiuni proprii","117","","ro_chart_template","account_group_11"
"account_group_12","Rezultatul exerciţiului financiar","12","","ro_chart_template","account_group_1"
"account_group_14","Câştiguri sau pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii","14","","ro_chart_template","account_group_1"
"account_group_141","Câştiguri legate de vânzarea sau anularea instrumentelor de capitaluri proprii","141","","ro_chart_template","account_group_14"
"account_group_149","Pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii","149","","ro_chart_template","account_group_14"
"account_group_15","Provizioane","15","","ro_chart_template","account_group_1"
"account_group_151","Provizioane","151","","ro_chart_template","account_group_15"
"account_group_16","Împrumuturi şi datorii asimilate","16","","ro_chart_template","account_group_1"
"account_group_161","Împrumuturi din emisiuni de obligaţiuni","161","","ro_chart_template","account_group_16"
"account_group_162","Credite bancare pe termen lung","162","","ro_chart_template","account_group_16"
"account_group_166","Datorii care privesc imobilizările financiare","166","","ro_chart_template","account_group_16"
"account_group_168","Dobânzi aferente împrumuturilor şi datoriilor asimilate","168","","ro_chart_template","account_group_16"
"account_group_169","Prime privind rambursarea obligaţiunilor şi a altor datorii","169","","ro_chart_template","account_group_16"
"account_group_2","CONTURI DE IMOBILIZĂRI","2","","ro_chart_template","account_group_cls_15"
"account_group_20","Imobilizări necorporale","20","","ro_chart_template","account_group_2"
"account_group_207","Fond comercial","207","","ro_chart_template","account_group_20"
"account_group_21","Imobilizări corporale","21","","ro_chart_template","account_group_2"
"account_group_211","Terenuri şi amenajări de terenuri","211","","ro_chart_template","account_group_21"
"account_group_213","Instalaţii tehnice şi mijloace de transport","213","","ro_chart_template","account_group_21"
"account_group_22","Imobilizări corporale în curs de aprovizionare","22","","ro_chart_template","account_group_2"
"account_group_23","Imobilizări în curs","23","","ro_chart_template","account_group_2"
"account_group_26","Imobilizări financiare","26","","ro_chart_template","account_group_2"
"account_group_267","Creanţe imobilizate","267","","ro_chart_template","account_group_26"
"account_group_269","Vărsăminte de efectuat pentru imobilizări financiare","269","","ro_chart_template","account_group_26"
"account_group_28","Amortizări privind imobilizările","28","","ro_chart_template","account_group_2"
"account_group_280","Amortizări privind imobilizările necorporale","280","","ro_chart_template","account_group_28"
"account_group_281","Amortizări privind imobilizările corporale","281","","ro_chart_template","account_group_28"
"account_group_29","Ajustări pentru deprecierea sau pierderea de valoare a imobilizărilor","29","","ro_chart_template","account_group_2"
"account_group_290","Ajustări pentru deprecierea imobilizărilor necorporale","290","","ro_chart_template","account_group_29"
"account_group_291","Ajustări pentru deprecierea imobilizărilor corporale","291","","ro_chart_template","account_group_29"
"account_group_293","Ajustări pentru deprecierea imobilizărilor în curs de execuţie","293","","ro_chart_template","account_group_29"
"account_group_296","Ajustări pentru pierderea de valoare a imobilizărilor financiare","296","","ro_chart_template","account_group_29"
"account_group_3","CONTURI DE STOCURI ŞI PRODUCŢIE ÎN CURS DE EXECUŢIE","3","","ro_chart_template","account_group_cls_15"
"account_group_30","Stocuri de materii prime şi materiale","30","","ro_chart_template","account_group_3"
"account_group_302","Materiale consumabile","302","","ro_chart_template","account_group_30"
"account_group_32","Stocuri în curs de aprovizionare","32","","ro_chart_template","account_group_3"
"account_group_33","Producţie în curs de execuţie","33","","ro_chart_template","account_group_3"
"account_group_34","Produse","34","","ro_chart_template","account_group_3"
"account_group_35","Stocuri aflate la terţi","35","","ro_chart_template","account_group_3"
"account_group_36","Active biologice de natura stocurilor","36","","ro_chart_template","account_group_3"
"account_group_37","Mărfuri","37","","ro_chart_template","account_group_3"
"account_group_38","Ambalaje","38","","ro_chart_template","account_group_3"
"account_group_39","Ajustări pentru deprecierea stocurilor şi producţiei în curs de execuţie","39","","ro_chart_template","account_group_3"
"account_group_392","Ajustări pentru deprecierea materialelor","392","","ro_chart_template","account_group_39"
"account_group_393","Ajustări pentru deprecierea producţiei în curs de execuţie","393","","ro_chart_template","account_group_39"
"account_group_394","Ajustări pentru deprecierea produselor","394","","ro_chart_template","account_group_39"
"account_group_395","Ajustări pentru deprecierea stocurilor aflate la terţi","395","","ro_chart_template","account_group_39"
"account_group_4","CONTURI DE TERŢI","4","","ro_chart_template","account_group_cls_15"
"account_group_40","Furnizori şi conturi asimilate","40","","ro_chart_template","account_group_4"
"account_group_409","Furnizori - debitori","409","","ro_chart_template","account_group_40"
"account_group_41","Clienţi şi conturi asimilate","41","","ro_chart_template","account_group_4"
"account_group_411","Clienţi","411","","ro_chart_template","account_group_41"
"account_group_42","Personal şi conturi asimilate","42","","ro_chart_template","account_group_4"
"account_group_428","Alte datorii şi creanţe în legătură cu personalul","428","","ro_chart_template","account_group_42"
"account_group_43","Asigurări sociale, protecţia socială şi conturi asimilate","43","","ro_chart_template","account_group_4"
"account_group_431","Asigurări sociale","431","","ro_chart_template","account_group_43"
"account_group_437","Ajutor de şomaj","437","","ro_chart_template","account_group_43"
"account_group_438","Alte datorii şi creanţe sociale","438","","ro_chart_template","account_group_43"
"account_group_44","Bugetul statului, fonduri speciale şi conturi asimilate","44","","ro_chart_template","account_group_4"
"account_group_441","Impozitul pe profit/venit","441","","ro_chart_template","account_group_44"
"account_group_442","Taxa pe valoarea adăugată","442","","ro_chart_template","account_group_44"
"account_group_4428","TVA neexigibilă","4428","","ro_chart_template","account_group_442"
"account_group_445","Subvenţii","445","","ro_chart_template","account_group_44"
"account_group_448","Alte datorii şi creanţe cu bugetul statului","448","","ro_chart_template","account_group_44"
"account_group_45","Grup şi acţionari/asociaţi","45","","ro_chart_template","account_group_4"
"account_group_451","Decontări între entităţile afiliate","451","","ro_chart_template","account_group_45"
"account_group_453","Decontări cu entităţile asociate şi entităţile controlate în comun","453","","ro_chart_template","account_group_45"
"account_group_455","Sume datorate acţionarilor/asociaţilor","455","","ro_chart_template","account_group_45"
"account_group_458","Decontări din operaţiuni în participaţie","458","","ro_chart_template","account_group_45"
"account_group_46","Debitori şi creditori diverşi","46","","ro_chart_template","account_group_4"
"account_group_466","Decontări din operaţiuni de fiducie","466","","ro_chart_template","account_group_46"
"account_group_47","Conturi de subvenţii, regularizare şi asimilate","47","","ro_chart_template","account_group_4"
"account_group_475","Subvenţii pentru investiţii","475","","ro_chart_template","account_group_47"
"account_group_48","Decontări în cadrul unităţii","48","","ro_chart_template","account_group_4"
"account_group_49","Ajustări pentru deprecierea creanţelor","49","","ro_chart_template","account_group_4"
"account_group_5","CONTURI DE TREZORERIE","5","","ro_chart_template","account_group_cls_15"
"account_group_50","Investiţii pe termen scurt","50","","ro_chart_template","account_group_5"
"account_group_508","Alte investiţii pe termen scurt şi creanţe asimilate","508","","ro_chart_template","account_group_50"
"account_group_509","Vărsăminte de efectuat pentru investiţiile pe termen scurt","509","","ro_chart_template","account_group_50"
"account_group_51","Conturi la bănci","51","","ro_chart_template","account_group_5"
"account_group_511","Valori de încasat","511","","ro_chart_template","account_group_51"
"account_group_512","Valori de încasat","512","","ro_chart_template","account_group_51"
"account_group_518","Valori de încasat","518","","ro_chart_template","account_group_51"
"account_group_519","Valori de încasat","519","","ro_chart_template","account_group_51"
"account_group_53","Casa","53","","ro_chart_template","account_group_5"
"account_group_531","Casa","531","","ro_chart_template","account_group_53"
"account_group_532","Alte valori","532","","ro_chart_template","account_group_53"
"account_group_54","Acreditive","54","","ro_chart_template","account_group_5"
"account_group_541","Acreditive","541","","ro_chart_template","account_group_54"
"account_group_58","Viramente interne","58","","ro_chart_template","account_group_5"
"account_group_59","Ajustări pentru pierderea de valoare a conturilor de trezorerie","59","","ro_chart_template","account_group_5"
"account_group_6","CONTURI DE CHELTUIELI","6","","ro_chart_template","account_group_cls_67"
"account_group_60","Cheltuieli privind stocurile","60","","ro_chart_template","account_group_6"
"account_group_602","Cheltuieli cu materialele consumabile","602","","ro_chart_template","account_group_60"
"account_group_61","Cheltuieli cu serviciile executate de terţi","61","","ro_chart_template","account_group_6"
"account_group_62","Cheltuieli cu alte servicii executate de terţi","62","","ro_chart_template","account_group_6"
"account_group_623","Cheltuieli de protocol, reclama si publicitate","623","","ro_chart_template","account_group_62"
"account_group_63","Cheltuieli cu alte impozite, taxe şi vărsăminte asimilate","63","","ro_chart_template","account_group_6"
"account_group_635","Cheltuieli cu alte impozite, taxe şi vărsăminte asimilate","635","","ro_chart_template","account_group_63"
"account_group_64","Cheltuieli cu personalul","64","","ro_chart_template","account_group_6"
"account_group_642","Cheltuieli cu avantajele în natură şi tichetele acordate salariaţilor","642","","ro_chart_template","account_group_64"
"account_group_645","Cheltuieli privind asigurările şi protecţia socială","645","","ro_chart_template","account_group_64"
"account_group_65","Alte cheltuieli de exploatare","65","","ro_chart_template","account_group_6"
"account_group_651","Cheltuieli din operaţiuni de fiducie","651","","ro_chart_template","account_group_65"
"account_group_658","Alte cheltuieli de exploatare","658","","ro_chart_template","account_group_65"
"account_group_6588","Alte cheltuieli de exploatare","6588","","ro_chart_template","account_group_658"
"account_group_66","Cheltuieli financiare","66","","ro_chart_template","account_group_6"
"account_group_664","Cheltuieli privind investiţiile financiare cedate","664","","ro_chart_template","account_group_66"
"account_group_665","Cheltuieli din diferenţe de curs valutar","665","","ro_chart_template","account_group_66"
"account_group_68","Cheltuieli cu amortizările, provizioanele şi ajustările pentru depreciere sau pierdere de valoare","68","","ro_chart_template","account_group_6"
"account_group_681","Cheltuieli de exploatare privind amortizările, provizioanele şi ajustările pentru depreciere","681","","ro_chart_template","account_group_68"
"account_group_686","Cheltuieli financiare privind amortizările, provizioanele şi ajustările pentru pierdere de valoare","686","","ro_chart_template","account_group_68"
"account_group_69","Cheltuieli cu impozitul pe profit şi alte impozite","69","","ro_chart_template","account_group_6"
"account_group_7","CONTURI DE VENITURI","7","","ro_chart_template","account_group_cls_67"
"account_group_70","Cifra de afaceri netă","70","","ro_chart_template","account_group_7"
"account_group_701","Venituri din vânzarea produselor finite, produselor agricole şi a activelor biologice de natura stocurilor","701","","ro_chart_template","account_group_70"
"account_group_71","Venituri aferente costului producţiei în curs de execuţie","71","","ro_chart_template","account_group_7"
"account_group_72","Venituri din producţia de imobilizări","72","","ro_chart_template","account_group_7"
"account_group_74","Venituri din subvenţii de exploatare","74","","ro_chart_template","account_group_7"
"account_group_741","Venituri din subvenţii de exploatare","741","","ro_chart_template","account_group_74"
"account_group_75","Alte venituri din exploatare","75","","ro_chart_template","account_group_7"
"account_group_751","Venituri din operaţiuni de fiducie","751","","ro_chart_template","account_group_75"
"account_group_758","Alte venituri din exploatare","758","","ro_chart_template","account_group_75"
"account_group_76","Venituri financiare","76","","ro_chart_template","account_group_7"
"account_group_761","Venituri din imobilizări financiare","761","","ro_chart_template","account_group_76"
"account_group_764","Venituri din investiţii financiare cedate","764","","ro_chart_template","account_group_76"
"account_group_765","Venituri din diferenţe de curs valutar","765","","ro_chart_template","account_group_76"
"account_group_78","Venituri din provizioane, amortizări şi ajustări pentru depreciere sau pierdere de valoare","78","","ro_chart_template","account_group_7"
"account_group_781","Venituri din provizioane şi ajustări pentru depreciere privind activitatea de exploatare","781","","ro_chart_template","account_group_78"
"account_group_786","Venituri financiare din amortizări şi ajustări pentru pierdere de valoare","786","","ro_chart_template","account_group_78"
